Compound Score,Negative Score,Neutral Score,Positive Score,Tweet,TweetsAgo,User
0.0,0.0,1.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/89PwWAulmW,1.0,@CNN
0.0,0.0,1.0,0.0,These four chefs met in the ‘80s … and changed everything | via @CNNTravel https://t.co/l5hQWDYdwi https://t.co/dOO6hjvnQb,2.0,@CNN
0.4215,0.0,0.859,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/3s9DVeN3Ww,3.0,@CNN
-0.4767,0.14,0.86,0.0,"Former Clinton aide Keith Boykin says Trump ""should be ashamed of himself for accomplishing so little with having a… https://t.co/en5OnRgauf",4.0,@CNN
0.4019,0.0,0.881,0.119,Sen. Bernie Sanders: “We need a revolution in the way we treat women in the workforce from the bottom on up.”… https://t.co/mPtXUEwoQ1,5.0,@CNN
0.0,0.0,1.0,0.0,Oil hits $60 a barrel for the first time in 2.5 years https://t.co/C0NvG15ZS0 https://t.co/Uxa8qgwg7G,6.0,@CNN
-0.1779,0.086,0.856,0.058,"Sen. Bernie Sanders on DACA: “If we do not act, you’re going to have 800,000 people with no legal status who will b… https://t.co/uZG6DgxYzv",7.0,@CNN
-0.2263,0.132,0.769,0.099,This Vietnam vet's dying wish was to see 'Star Wars: The Last Jedi'. His community came together to give him that a… https://t.co/HDpQebCJba,8.0,@CNN
-0.5994,0.226,0.711,0.063,"The cities of New York, Philadelphia and San Francisco are suing the Department of Defense for failing to consisten… https://t.co/KilOs4e7kW",9.0,@CNN
0.4215,0.0,0.859,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/DSoBNFGgkT,10.0,@CNN
0.0,0.0,1.0,0.0,Virginia Democrat asks court to reconsider decision that made delegate race a tie https://t.co/W1aO1ZAID5 https://t.co/vdO4n7IqO9,11.0,@CNN
0.0,0.0,1.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/TwQqm2zZXW,12.0,@CNN
0.0,0.0,1.0,0.0,"A mining company announced that it is proceeding with plans to build an Alaskan gold and copper mine, which critics… https://t.co/N9hZeB5RXL",13.0,@CNN
0.2944,0.0,0.901,0.099,"""My personal belief is that there is very compelling evidence that we may not be alone,"" says former military intel… https://t.co/dKV4P061zp",14.0,@CNN
0.0,0.0,1.0,0.0,"The wildfires in California just keep shattering records this year, with costs topping $10 billion… https://t.co/p1HWVpmopp",15.0,@CNN
0.5574,0.0,0.795,0.205,"President Trump has scored some successes in foreign policy, writes Peter Bergen for @CNNOpinion… https://t.co/fZZlMCI8EJ",16.0,@CNN
-0.0258,0.055,0.945,0.0,A British woman who says she was carrying painkillers for her ailing partner was sentenced to three years in prison… https://t.co/fgyhqsd1qs,17.0,@CNN
0.481,0.0,0.779,0.221,Here's another sign that shoppers spent big this holiday season https://t.co/CxES9aKqki https://t.co/OaPs60NCoP,18.0,@CNN
0.6369,0.0,0.53,0.47,Amazon unveils the top holiday gifts this season https://t.co/4DoJMiHTDZ https://t.co/ITtdmJaNpy,19.0,@CNN
0.8271,0.0,0.476,0.524,2017 was a great year to be rich https://t.co/ZbmGT49Pnx https://t.co/wJHtG2ExUB,20.0,@CNN
0.0,0.0,1.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/89PwWAulmW,21.0,@CNN
0.0,0.0,1.0,0.0,These four chefs met in the ‘80s … and changed everything | via @CNNTravel https://t.co/l5hQWDYdwi https://t.co/dOO6hjvnQb,22.0,@CNN
0.4215,0.0,0.859,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/3s9DVeN3Ww,23.0,@CNN
-0.4767,0.14,0.86,0.0,"Former Clinton aide Keith Boykin says Trump ""should be ashamed of himself for accomplishing so little with having a… https://t.co/en5OnRgauf",24.0,@CNN
0.4019,0.0,0.881,0.119,Sen. Bernie Sanders: “We need a revolution in the way we treat women in the workforce from the bottom on up.”… https://t.co/mPtXUEwoQ1,25.0,@CNN
0.0,0.0,1.0,0.0,Oil hits $60 a barrel for the first time in 2.5 years https://t.co/C0NvG15ZS0 https://t.co/Uxa8qgwg7G,26.0,@CNN
-0.1779,0.086,0.856,0.058,"Sen. Bernie Sanders on DACA: “If we do not act, you’re going to have 800,000 people with no legal status who will b… https://t.co/uZG6DgxYzv",27.0,@CNN
-0.2263,0.132,0.769,0.099,This Vietnam vet's dying wish was to see 'Star Wars: The Last Jedi'. His community came together to give him that a… https://t.co/HDpQebCJba,28.0,@CNN
-0.5994,0.226,0.711,0.063,"The cities of New York, Philadelphia and San Francisco are suing the Department of Defense for failing to consisten… https://t.co/KilOs4e7kW",29.0,@CNN
0.4215,0.0,0.859,0.141,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/DSoBNFGgkT,30.0,@CNN
0.0,0.0,1.0,0.0,Virginia Democrat asks court to reconsider decision that made delegate race a tie https://t.co/W1aO1ZAID5 https://t.co/vdO4n7IqO9,31.0,@CNN
0.0,0.0,1.0,0.0,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/TwQqm2zZXW,32.0,@CNN
0.0,0.0,1.0,0.0,"A mining company announced that it is proceeding with plans to build an Alaskan gold and copper mine, which critics… https://t.co/N9hZeB5RXL",33.0,@CNN
0.2944,0.0,0.901,0.099,"""My personal belief is that there is very compelling evidence that we may not be alone,"" says former military intel… https://t.co/dKV4P061zp",34.0,@CNN
0.0,0.0,1.0,0.0,"The wildfires in California just keep shattering records this year, with costs topping $10 billion… https://t.co/p1HWVpmopp",35.0,@CNN
0.5574,0.0,0.795,0.205,"President Trump has scored some successes in foreign policy, writes Peter Bergen for @CNNOpinion… https://t.co/fZZlMCI8EJ",36.0,@CNN
-0.0258,0.055,0.945,0.0,A British woman who says she was carrying painkillers for her ailing partner was sentenced to three years in prison… https://t.co/fgyhqsd1qs,37.0,@CNN
0.481,0.0,0.779,0.221,Here's another sign that shoppers spent big this holiday season https://t.co/CxES9aKqki https://t.co/OaPs60NCoP,38.0,@CNN
0.6369,0.0,0.53,0.47,Amazon unveils the top holiday gifts this season https://t.co/4DoJMiHTDZ https://t.co/ITtdmJaNpy,39.0,@CNN
0.8271,0.0,0.476,0.524,2017 was a great year to be rich https://t.co/ZbmGT49Pnx https://t.co/wJHtG2ExUB,40.0,@CNN
0.0,0.0,1.0,0.0,The NFL has canceled Sunday Night Football this week https://t.co/QiDJeq7uTw https://t.co/zYPsuPuzbg,41.0,@CNN
-0.1027,0.169,0.692,0.138,Treasury escalates pressure on North Korea with more sanctions https://t.co/dc5pBxeThx https://t.co/tTkIMjupkt,42.0,@CNN
0.0,0.0,1.0,0.0,RT @CNNnewsroom: The Salt Lake Tribune's Editorial Page Editor tells @donlemon why the paper is calling on Senator Orrin Hatch not to seek…,43.0,@CNN
-0.8402,0.286,0.714,0.0,"""The Sound of Music,"" actress Heather Menzies Urich has died of brain cancer, said her son. She was 68 years old… https://t.co/geV4nPsfJU",44.0,@CNN
-0.5859,0.211,0.789,0.0,An iconic tree on the White House grounds is scheduled to be cut down after years of decay https://t.co/bg2C3sQ0Td https://t.co/00Vw8WOZVq,45.0,@CNN
0.3612,0.0,0.872,0.128,A Kremlin spokesman says Russia is ready to act as mediator for the US and North Korea https://t.co/ymnQlgvVUm https://t.co/Usdt6zkL6m,46.0,@CNN
